"%s days","%s days"
"%s is available for quotation in increments of %s only.","%s is available for quotation in increments of %s only."
"-- Remove Coupon --","-- Remove Coupon --"
"-- Select Coupon --","-- Select Coupon --"
"About This Quote:","About this Quote:"
"Account Information","Account Information"
"Action","Action"
"Action is blocked in quote confirmation mode","Action is blocked in Quote Request confirmation mode"
"ACTION_CUSTOMER","- Action for Customer"
"ACTION_OWNER","- Action for Store Owner"
"Add","Add"
"Add All to Quote","Add All to Quote"
"Add new Qty","Add new Qty"
"Add Qty","Add Tier"
"Add Selected Product(s) to Advanced Quote","Add Selected Product(s) to Quote Request"
"Add to Cart","Add to Cart"
"Add to Quote","Add to Quote"
"Added to your Quote List","Added to your Quote List"
"Address","Address"
"Adjustment Quote","Adjustment Quote"
"Adjustment Quote (%s)","Adjustment Quote (%s)"
"All items were moved to cart successfully.","All items are moved to the Shopping Cart successfully."
"Are you sure?","Are you sure?"
"Assigned to","Assigned to"
"Back to My Quotes","Back to My Quotes"
"Billing Address is same as Shipping Address","Billing Address is same as Shipping Address"
"Billing address wasn't added","Billing address wasn't added"
"By deleting an item, you will create a new quote request. Do you want to do this?","By deleting an item, a new quote will be created. Do you want to continue?"
"Can not add client note request to the product.","Cannot add client note request to the product."
"Can not add client request to the quote.","Cannot add client request to the quote."
"Can not add customer address.","Cannot add customer address."
"Can not add one of the items to quote request.","Cannot add one of the items to the Quote Request."
"Can not add quote history.","Cannot add quote history."
"Can not save client note request to the product.","Cannot save client note request to the product."
"Can not save the custom quote product: ","Cannot save the custom quote product: "
"Can't remove item","Can't remove item"
"Can't update quote list","Can't update Quote Request"
"Cancel","Cancel"
"Cancel Quote","Cancel Quote"
"Cannot configure product.","Cannot configure the product."
"Cannot update the item.","Cannot update the item."
"Change status","Change status"
"Checking..","Checking.."
"City","City"
"Comment with Product","Comment on Product"
"Company","Company"
"Confirm and CheckOut","Confirm and Checkout"
"Continue","Continue"
"Continue Shopping","Continue Shopping"
"Copy to Quotation","Copy to Quotation"
"Copy to Quotation?","Copy to Quotation?"
"Could not load Coupon Code","Could not load Coupon Code"
"Country","Country"
"Create New Quote","Create New Quote"
"Create Order","Create Order"
"Created On","Created On"
"Customer email already exists. You should login <a href=%s>here</a>","Customer email already exists. You should login <a href=%s>here</a>"
"Customer Group","Customer Group"
"Customer Name","Customer Name"
"Customer not recognized for new quote","Customer not recognized for new quote"
"Customer's email was undefined","Customer's email was undefined"
"Datafield %s is empty","Data field %s is empty"
"Date","Date"
"Date of Proposal","Date of Proposal"
"Delete","Delete"
"Discount (%s)","Discount (%s)"
"Do you have a general remark with your quote request?","Do you have a general remark with this Quote Request?"
