"Please wait...","Please wait..."
Close,Close
Save,Save
Cancel,Cancel
Apply,Apply
Reset,Reset
"Edit selected object","Edit selected object"
"This is a required field.","This is a required field."
Text:,Text:
Font:,Font:
"Add text","Add text"
Color:,Color:
Outline,Outline
Shadow,Shadow
"Alpha of Shadow (from 0 to 126)","Alpha of Shadow (from 0 to 126)"
"Offset X of Shadow","Offset X of Shadow"
"Offset Y of Shadow","Offset Y of Shadow"
"Pick outline color","Pick outline color"
"Pick outline shadow","Pick outline shadow"
"Choose outline width","Choose outline width"
"Add image","Add image"
"Add mask","Add mask"
"Remove mask","Remove mask"
"Upload Image","Upload Image"
"Add Clip Art","Add Clip Art"
"Add Mask","Add Mask"
"Add Text","Add Text"
"Place behind product image","Place behind product image"
"Save Graphics","Save Graphics"
"Please upload the graphics and/or add the text first. This block will show links to images that were uploaded to the server.","Please upload the graphics and/or add the text first. This block will show links to images that were uploaded to the server."
"Save as SVG","Save as SVG"
"Save as PNG","Save as PNG"
"Save as PDF","Save as PDF"
"Graphics Scale:","Graphics Scale:"
"Choose graphics layers to save:","Choose graphics layers to save:"
"Graphics placed above product image","Graphics placed above product image"
"Graphics placed behind product image","Graphics placed behind product image"
"Product image","Product image"
"Custom shape mask","Custom shape mask"
"Please select at least one layer","Please select at least one layer"
"Once you select your image, click Add Image to add it to the product.<br />Next move around or resize the image to suit your desired end state.<br />If you would like to add multiple images or text, you can select another image or text and click add to image.","Once you select your image, click Add Image to add it to the product.<br />Next move around or resize the image to suit your desired end state.<br />If you would like to add multiple images or text, you can select another image or text and click add to image."
"Save custom image preview to your hard drive (optional)","Save custom image preview to your hard drive (optional)"
"Click on the image above to edit","Click on the image above to edit"
"Click to start editing","Click to start editing"
"Click to view full version","Click to view full version"
"Are you sure? Any unsaved changes will be lost!","Are you sure? Any unsaved changes will be lost!"
"More Views","More Views"
Agree,Agree
Disagree,Disagree
color:,color:
text:,text:
"Text image:","Text image:"
"Uploaded image:","Uploaded image:"
"Open original size images in a new window","Open original size images in a new window"
"To save as PNG please allow popup in the browser settings.","To save as PNG please allow popup in the browser settings."
"Shared images view page","Shared images view page"
"This customized image was created for the following product","This customized image was created for the following product"
"Sorry, but your browser does NOT support HTML5 elements and this feature is not working or may work incorrectly.","Sorry, but your browser does NOT support HTML5 elements and this feature is not working or may work incorrectly."
"Please, try using different browser.","Please, try using different browser."
"Please, try using different browser (Opera Mini for example) or update your Android to a newer version.","Please, try using different browser (Opera Mini for example) or update your Android to a newer version."
"Click on the thumbnail to choose the product image for editing.","Click on the thumbnail to choose the product image for editing."
"Click to share your customized image","Click to share your customized image"
"You image exceeds maximum allowed size","You image exceeds maximum allowed size"
"Email to a Friend","Email to a Friend"
"Add Color","Add Color"
"Print Preview files can't be edited","Print Preview files can't be edited"
Price,Price
"Price Type","Price Type"
