"%s of the items will be backordered.","%s of the items will be backordered."
"(Incl. Tax %s)","(Incl. Tax %s)"
"-- Please Select --","-- Please Select --"
"ALL GROUPS","ALL GROUPS"
AND,AND
APO,APO
Action,Action
Actions,Actions
Active,Active
"Add Image","Add Image"
"Add New Row","Add New Row"
"Add Options Template","Add Options Template"
"Add Special Price","Add Special Price"
"Add Tier Price","Add Tier Price"
"Advanced Custom Options","Advanced Custom Options"
"Allow Backorders","Allow Backorders"
"Allow Backorders and Notify Customer","Allow Backorders and Notify Customer"
"Allowed file extensions to upload","Allowed file extensions to upload"
"Append to Product Gallery","Append to Product Gallery"
"Apply Option SKU Policy to","Apply Option SKU Policy to"
"Attrib. Set Name","Attrib. Set Name"
Backend,Backend
"Backend Only","Backend Only"
"Beside Option","Beside Option"
"Bundle with dynamic pricing cannot include custom defined options. Options will not be saved","Bundle with dynamic pricing cannot include custom defined options. Options will not be saved"
"Cart and Order","Cart and Order"
Category,Category
Change,Change
"Change Image","Change Image"
"Change Quantity","Change Quantity"
"Change status","Change status"
"Characters left:","Characters left:"
Copy,Copy
Cost,Cost
"Current option price:","Current option price:"
"Custom Options","Custom Options"
"Default Option Qty Field Label","Default Option Qty Field Label"
"Default Option SKU Policy","Default Option SKU Policy"
Delete,Delete
"Delete Image","Delete Image"
"Delete Row","Delete Row"
"Description’s Edit Mode","Description’s Edit Mode"
Disable,Disable
"Disable Inventory","Disable Inventory"
"Disable and Display &quot;Out of Stock&quot;","Disable and Display &quot;Out of Stock&quot;"
Disabled,Disabled
"Display Including Low Stock","Display Including Low Stock"
"Display Low Stock Message","Display Low Stock Message"
"Display for Low Stock Only","Display for Low Stock Only"
"Display for in Stock Only","Display for in Stock Only"
"Do Not Restore Deleted Options","Do Not Restore Deleted Options"
Done,Done
Duplicate,Duplicate
Edit,Edit
"Edit Template '%s'","Edit Template '%s'"
Enable,Enable
"Enable ""Starting at"" Price Prefix","Enable ""Starting at"" Price Prefix"
"Enable Absolute Price","Enable Absolute Price"
"Enable Absolute Weight","Enable Absolute Weight"
"Enable Cost","Enable Cost"
"Enable Custom Options Inventory","Enable Custom Options Inventory"
"Enable Custom Options for Customer Groups","Enable Custom Options for Customer Groups"
"Enable Custom Options for Store Views","Enable Custom Options for Store Views"
"Enable Date for Special Price","Enable Date for Special Price"
"Enable Dependent Custom Options","Enable Dependent Custom Options"
"Enable Extras","Enable Extras"
"Enable Image Mode","Enable Image Mode"
"Enable Option Description","Enable Option Description"
"Enable Option SKU Policy","Enable Option SKU Policy"
"Enable Option’s Variation Description","Enable Option’s Variation Description"
"Enable Pre-populating Text for Input Options","Enable Pre-populating Text for Input Options"
"Enable Qnty Field for Custom Options on the Front-end","Enable Qnty Field for Custom Options on the Front-end"
"Enable Special Price","Enable Special Price"
"Enable Specifying CSS Class in Option Div","Enable Specifying CSS Class in Option Div"
"Enable Tier Price","Enable Tier Price"
"Enable UPC","Enable UPC"
"Enable Weight","Enable Weight"
Export,Export
"Export to:","Export to:"
"File format error.","File format error."
Grouped,Grouped
Hidden,Hidden
Hide,Hide
"Hide Dependent Custom Options","Hide Dependent Custom Options"
ID,ID
"If you delete this item(s) all the options inside will be deleted as well?","If you delete this item(s) all the options inside will be deleted as well?"
"Images Above Options (except Radio and Checkbox)","Images Above Options (except Radio and Checkbox)"
Import,Import
