"%s cannot be added to the quotation in the requested quantity.",""
"%s is available for quotation in increments of %s only.",""
"(unsaved changes to the quote will be lost)",""
"-- Quote Status --",""
"-- Remove Coupon --",""
"-- Select Coupon --",""
"(<a href='%s'>%s unanswered request</a> in total).",""
"(<a href='%s'>%s unanswered requests</a> in total).",""
"<a href=""https://www.cart2quote.com/ordering-licenses?utm_source=Client_Website&utm_medium=Popup_wrongLicenseText&utm_campaign=Client_Website_Upgrade"" class=""sublinkBottom"">read more about licensing</a>",""
"About This Quote:",""
"ACTION_CUSTOMER",""
"ACTION_OWNER",""
"Add ",""
"Add All to Quote",""
"Add a note",""
"Add Items to Cart",""
"Add more files...",""
"Adjustment Quote",""
"Adjustment Quote (%s)",""
"Adjustment Quote (Incl. default Tax)",""
"Allow Quote submission with a known email address, without login first.",""
"Are you sure you want to send this message? (unsaved changes to the quote will be lost)",""
"Are you sure you would like to remove this item from the quote?",""
"Assigned To",""
"Attach file",""
"Attach Files to Proposal Email",""
"Auto proposal",""
"Available Shipping Methods",""
"Billing Address is same as Shipping Address",""
"Billing details",""
"Buy Now!",""
"Can not add client request to the quote.",""
"Can not add quote history.",""
"Can not remove quantity.",""
"Can not save client note request to the product.",""
"Can not save the custom quote product: ",""
"Cart2Quote Activation",""
"Cart2Quote is not enabled for the selected store, please enable Cart2Quote first in: System > Configuration > Cart2Quote > General, and click OK after that.",""
"Cart2Quote notice:",""
"Change to Quotation mode?",""
"Continue Trial",""
"Convert to 8bit PNG",""
"Convert to JPEG",""
"Cost Price",""
"Could not create cart2quote export folder: ",""
"Could not export quotes",""
"Could not find user with id: %s",""
"Could not load Coupon Code",""
"Could not load CRM template",""
"Could not recalculate Quote Price",""
"Couldn't auto check out because one or more products are bundle products",""
"Coupon Code %s",""
"Coupon Type '%s' not supported",""
"CRM Email was sent",""
"CRM message couldn't be sent",""
"Currently no shipping methods are available",""
"Custom product is only available in the Cart2Quote enterprise edition. <a href='https://www.cart2quote.com/cart2quote-update-upgrade.html'>Upgrade</a>",""
"Custom quote product is successfully created.",""
"Customer's email was undefined",""
"Datafield %s is empty",""
"Default Billing & Shipping",""
"Delete Group",""
"Do not convert occurrences",""
"Do not notify customer",""
"Edit products",""
"Empty Quote",""
"Enter custom price excluding tax",""
