"%s cannot be added to the quotation in the requested quantity.","产品%s无法加入你要求的数量到询价单清单中"
"%s cannot be ordered in requested quantity.","产品%s所要求的数量无法被订购."
"%s cannot be quotated for in requested quantity.","产品%s所要求的数量之下无法被询价."
"%s cannot be quotated for the requested quantity.","产品%s所要求的数量无法被询价."
"%s days","%s 天"
"%s is available for quotation in increments of %s only.","%s 是仅对 %s 询价单的增量而有效"
"*If you already ordered a license, you should receive your serial shortly","*如果你已订购了一个使用权,你将很快到你的序号"
"-- Quote Status --","-- 询价状态 --"
"-- Remove Coupon --","-- 删除 折价卷--"
"-- Select Coupon --","-- 选择 折价卷 --"
"About This Quote:","关于这询价单"
"Account","账户"
"Account Information","帐户信息"
"Action","动作"
"Action is blocked in quote confirmation mode","在询价请求确认的状态中所有操作是会被封锁住的"
"ACTION_CUSTOMER","- 为客户的行动"
"ACTION_OWNER","- 为商店拥有者的行动"
"Add","增加"
"Add Items to Cart","加入项目到购物车"
"Add more files...","更多档案..."
"Add new Qty","增加新的数量"
"Add Qty","增加数量"
"Add Selected Product(s) to Advanced Quote","增加已选购的商品放入询价单"
"Add to Cart","加入购物车"
"Add to Quote","加入询价单"
"Address","地址"
"Adjustment Quote","修改询价单"
"Adjustment Quote (%s)","修改询价单(%s)"
"Adjustment Quote (Incl. default Tax)","调整询价(公司预设税率)"
"All items were moved to cart successfully.","所有项目成功地转入购物车内."
"Are you sure you would like to remove this item from the quote?","你确定要将此产品从询价列表中删除?"
"Are you sure?","你确定吗?"
"Assigned to","被指派到"
"Assigned To","被指派到"
"Attach file","附件档案"
"Attach Files to Proposal Email","附件档案为报价电子邮箱"
"Auto proposal","自动提单"
"Available Shipping Methods","可选用的运送方法"
"Back to My Quotes","返回我的询价单"
"Billing address wasn't added","付款地址并未填写"
"Billing details","付款详细信息"
"By deleting an item, you will create a new quote request. Do you want to do this?","经由删除一个项目你将可以重新产生一个询价需求. 你想如此做吗?"
"Can not add client note request to the product.","无法加入顾客附着要求到产品少上."
"Can not add customer address.","无法加入顾客地址."
"Can not add one of the items to quote request.","无法加入询价要求其中的一个品项."
"Can not add quote history.","无法加入询价历史档中"
"Can't remove item","无法删除项目"
"Can't update quote list","无法更新询价要求"
"Cancel","取消"
"Cancel Quote","取消询价"
"Cannot configure product.","无法配置商品"
"Cannot update the item.","无法更新项目"
"Change status","改变状态"
"Change to Quotation mode?","切换到询价单模式"
"Checking..","检查中.."
"City","市"
"Comment with Product","商品的评价"
"Company","公司"
"Confirm and CheckOut","确认与结账"
"Continue","继续"
"Continue Shopping","继续购物"
"Continue Trial","继续试用"
"Copy to Quotation","复制到询价单"
"Copy to Quotation?","要复制到询价单吗?"
"Cost Price","成本价格"
"Could not create cart2quote export folder: ","无法建立cart2quote输出的目录"
"Could not export quotes","无法输出询价单"
"Could not find user with email address: %s","无法找到用户'%s'电子邮箱地址"
"Could not load Coupon Code","无法切换到折价卷模式"
"Could not recalculate Quote Price","无法重新计算询价单价格"
"Couldn't auto check out because one or more products are bundle products","因为有一个或一个以上产品是产品套件"
"Country","国家"
"Coupon Code %s","折价卷编码:%s "
"Coupon Type '%s' not supported"," '%s'的折价卷型态是不支持的"
"Create New Quote","产生新的询价"
"Create Order","产生订单"
"Create Quotation","产生询价单"
"Created On","产生在"
"Currently no shipping methods are available","目前没有任何送货方式可采用"
"Customer email already exists. You should login <a href=%s>here</a>","顾客电子邮箱已存在. 你(妳)应该登录  <a href=%s>在此</a>"
"Customer Group","顾客群组"
"Customer Name","顾客名称"
"Customer not recognized for new quote","对新的询价客户无法认可"
"Customer's email was undefined","顾客电子邮箱未填入"
"Date","日期"
"Date of Proposal","提案日期"
"Delete","删除"
"Delete Group","删除群组"
"Deliver Method","运送的方示式"
"Discount (%s)","折价 (%s)"
"Do not notify customer","请勿通知客户"
"Do you have a general remark with your quote request?","这次询价单内有无一般的评论?"
"Duplicate value entered","重复数值被输入"
"Edit","编辑"
"Edit products","编辑产品"
"Edit Quote","编辑询价单"
"Edit Request","编辑请求"
"Email","电子邮箱 "
"Email Address","电子邮箱地址"
"Email already exists","电子邮箱地址已存在"
"Email was sent to client","电子邮箱已经被送到客护户端"
"Empty Quote","清楚询价单"
"Enter custom price excluding tax","输入未税的定价"
"Enter custom price including default tax","输入含税的定价"
"Enter Fixed Price","输入固定价格"
"Enter new Quote Subtotal","输入新的询价的小计"
"Enter Percentage","输入百分比"
"Enter Quote Reduction","输入询价折扣"
"Enter your billing address details.","输入付款地址详细数据"
