"%s cannot be added to the quotation in the requested quantity.","產品%s無法加入你要求的數量到詢價單清單中"
"%s cannot be ordered in requested quantity.","產品%s所要求的數量無法被訂購."
"%s cannot be quotated for in requested quantity.","產品%s所要求的數量之下無法被詢價."
"%s cannot be quotated for the requested quantity.","產品%s所要求的數量無法被詢價."
"%s days","%s 天"
"%s is available for quotation in increments of %s only.","%s 是僅對 %s 詢價單的增量而有效"
"*If you already ordered a license, you should receive your serial shortly","*如果你已訂購了一個使用權,你將很快到你的序號"
"-- Quote Status --","-- 詢價狀態 --"
"-- Remove Coupon --","-- 刪除 折價卷--"
"-- Select Coupon --","-- 選擇 折價卷 --"
"About This Quote:","關於這詢價單"
"Account","帳戶"
"Account Information","帳戶資訊"
"Action","動作"
"Action is blocked in quote confirmation mode","在詢價要求確認的狀態中所有操作是會被封鎖住的"
"ACTION_CUSTOMER","- 為客戶的行動"
"ACTION_OWNER","- 為商店擁有者的行動"
"Add","增加"
"Add Items to Cart","加入項目到購物車"
"Add more files...","更多檔案..."
"Add new Qty","增加新的數量"
"Add Qty","增加數量"
"Add Selected Product(s) to Advanced Quote","增加已選購的商品放入詢價單"
"Add to Cart","加入購物車"
"Add to Quote","加入詢價單"
"Address","地址"
"Adjustment Quote","修改詢價單"
"Adjustment Quote (%s)","修改詢價單(%s)"
"Adjustment Quote (Incl. default Tax)","調整詢價(公司預設稅率)"
"All items were moved to cart successfully.","所有項目成功地轉入購物車內."
"Are you sure you would like to remove this item from the quote?","你確定要將此產品從詢價清單中刪除?"
"Are you sure?","你確定嗎?"
"Assigned to","被指派到"
"Assigned To","被指派到"
"Attach file","附件檔案"
"Attach Files to Proposal Email","附件檔案為報價電子郵箱"
"Auto proposal","自動提單"
"Available Shipping Methods","可選用的送貨方法"
"Back to My Quotes","返回我的詢價單"
"Billing address wasn't added","付款地址並未填寫"
"Billing details","付款詳細資訊"
"By deleting an item, you will create a new quote request. Do you want to do this?","經由刪除一個項目你將可以重新產生一個詢價需求. 你想如此做嗎?"
"Can not add client note request to the product.","無法加入顧客附著要求到產品少上."
"Can not add customer address.","無法加入顧客地址."
"Can not add one of the items to quote request.","無法加入詢價要求其中的一個品項."
"Can not add quote history.","無法加入詢價歷史檔中"
"Can't remove item","無法刪除項目"
"Can't update quote list","無法更新詢價要求"
"Cancel","取消"
"Cancel Quote","取消詢價"
"Cannot configure product.","無法配置商品"
"Cannot update the item.","無法更新項目"
"Change status","改變狀態"
"Change to Quotation mode?","切換到詢價單模式"
"Checking..","檢查中.."
"City","市"
"Comment with Product","商品的評價"
"Company","公司"
"Confirm and CheckOut","確認與結帳"
"Continue","繼續"
"Continue Shopping","繼續購物"
"Continue Trial","繼續試用"
"Copy to Quotation","複製到詢價單"
"Copy to Quotation?","要複製到詢價單嗎?"
"Cost Price","成本價格"
"Could not create cart2quote export folder: ","無法建立cart2quote輸出的目錄"
"Could not export quotes","無法輸出詢價單"
"Could not find user with email address: %s","無法找到使用者'%s'電子郵件地址"
"Could not load Coupon Code","無法切換到折價卷模式"
"Could not recalculate Quote Price","無法重新計算詢價單價格"
"Couldn't auto check out because one or more products are bundle products","因為有一個或一個以上產品是產品套件"
"Country","國家"
"Coupon Code %s","折價卷編碼:%s "
"Coupon Type '%s' not supported"," '%s'的折價卷型態是不支援的"
"Create New Quote","產生新的詢價"
"Create Order","產生訂單"
"Create Quotation","產生詢價單"
"Created On","產生在"
"Currently no shipping methods are available","目前沒有任何送貨方式可採用"
"Customer email already exists. You should login <a href=%s>here</a>","顧客電子信箱已存在. 你(妳)應該登入 <a href=%s>在此</a>"
"Customer Group","顧客群組"
"Customer Name","顧客名稱"
"Customer not recognized for new quote","對新的詢價客戶無法認可"
"Customer's email was undefined","顧客電子信箱未填入"
"Date","日期"
"Date of Proposal","提案日期"
"Delete","刪除"
"Delete Group","刪除群組"
"Diliver Method","送貨的方示式"
"Discount (%s)","折價 (%s)"
"Do not notify customer","請勿通知客戶"
"Do you have a general remark with your quote request?","這次詢價單內有無一般的評論?"
"Duplicate value entered","重複數值被輸入"
"Edit","編輯"
"Edit products","編輯產品"
"Edit Quote","編輯詢價單"
"Edit Request","編輯要求"
"Email","電子郵件"
"Email Address","電子郵件地址"
"Email already exists","電子郵件地址已存在"
"Email was sent to client","電子郵件已經被送到客護戶端"
"Empty Quote","清楚詢價單"
"Enter custom price excluding tax","輸入未稅的定價"
