"(unsaved changes to the quote will be lost)",""
"(<a href='%s'>%s unanswered request</a> in total).",""
"(<a href='%s'>%s unanswered requests</a> in total).",""
"<a href=""https://www.cart2quote.com/ordering-licenses?utm_source=Client_Website&utm_medium=Popup_wrongLicenseText&utm_campaign=Client_Website_Upgrade"" class=""sublinkBottom"">read more about licensing</a>",""
"Add ",""
"Add All to Quote",""
"Add a note",""
"Allow Quote submission with a known email address, without login first.",""
"Are you sure you want to send this message? (unsaved changes to the quote will be lost)",""
"Billing Address is same as Shipping Address",""
"Billing details",""
"Buy Now!",""
"Can not add client request to the quote.",""
"Can not remove quantity.",""
"Can not save client note request to the product.",""
"Can not save the custom quote product: ",""
"Cart2Quote Activation",""
"Cart2Quote is not enabled for the selected store, please enable Cart2Quote first in: System > Configuration > Cart2Quote > General, and click OK after that.",""
"Cart2Quote notice:",""
"Convert to 8bit PNG",""
"Convert to JPEG",""
"Could not find user with id: %s",""
"Could not load CRM template",""
"CRM Email was sent",""
"CRM message couldn't be sent",""
"Custom product is only available in the Cart2Quote enterprise edition. <a href='https://www.cart2quote.com/cart2quote-update-upgrade.html'>Upgrade</a>",""
"Custom quote product is successfully created.",""
"Datafield %s is empty",""
"Default Billing & Shipping",""
"Do not convert occurrences",""
"Enter licence key",""
"Enterprise only",""
"LOCKED",""
"Mass delete action is only allowed for users of the group: ""Administrators"".",""
"Message Action",""
"Module Ophirah_Qquoteadv / Cart2Quote is disabled, please enable it in System>Configuration>Cart2Quote>General",""
"No Available Shipping Method",""
"No Available Shipping Methods",""
"No product found for the given attributes",""
"Not Now",""
"Only for selected user groups",""
"Please Upgrade",""
"Product %s couldn't be added to the Quote Request",""
"Quote item is not quotable.",""
"Quote reference",""
"Require Quote submission with a known email address to login first.",""
"Reset Follow Up",""
"See Plans and Pricing",""
"Sending CRM Email is disabled",""
"Something went wrong while duplicating this quote",""
"Submit Request",""
"Thanks for trying Cart2Quote",""
"The module ""Ophirah_Crmaddon"" is disabled, pleas enable it. (app/etc/modules/Ophirah_Crmaddon.xml)",""
"The module output of ""Ophirah_Crmaddon"" is disabled, pleas enable it. (System>Configuration>Advanced>Advanced>Disable Modules Output>Ophirah_Crmaddon)",""
"There are <a href='%s'>%s new</a> requests since your last login.",""
"There is <a href=""%s"">1 item</a> in your quote.",""
"There is <a href='%s'>%s new</a> request since your last login.",""
"This function is only available from the Starter and above editions. <a href='https://www.cart2quote.com/magento-quotation-module-pricing.html'>Upgrade</a>",""
"This function is only available in the Cart2Quote enterprise edition. <a href='https://www.cart2quote.com/cart2quote-update-upgrade.html'>Upgrade</a>",""
"This function is only available in the enterprise (non-trial) edition. <a href='https://www.cart2quote.com/magento-quotation-module-pricing.html'>Upgrade</a>",""
"This function is only available in the Enterprise edition. <a href='https://www.cart2quote.com/magento-quotation-module-pricing.html'>Upgrade</a>",""
"This item will be removed from the list if you continue:",""
"Tier quantity was deleted successfully.",""
"Today and Future",""
"Today only",""
"Total price",""
"Unable to remove the file.",""
"Unable to to save customer. Email: %s",""
"Upload error 1: Max upload size exceeded.",""
"Upload error 2: Max upload size exceeded.",""
"Upload error 3: File was partially uploaded, please retry.",""
"Upload error 4: No file was uploaded",""
"Upload error 6: Unable to upload file: missing temporary folder.",""
"Upload error 7: Unable to upload file: failed to write file to disk.",""
"Upload error 8: Unable to upload file: Unknown error. More information is availible in Magento exception log.",""
"Upload error: Unknown error",""
"Use Magento ""After Adding a Product Redirect to Shopping Cart"" setting",""
"View all items on your quote",""
"with any special requests, shipping instructions, or other important details",""
"Yes and Required",""
"You don't have permission to view or edit this Quote",""
"You have <a href='%s'> %s unanswered</a> quotation requests that require your action.",""
"You have <a href='%s'> %s unanswered</a> quote request that require your action.",""
"Your quote print # is: %s.",""
